Name	t00_A_Rep3_OR8	t00_C_Rep2_OR8	t00_C_Rep3_OR9	t00_A_Rep2_OR9	t00_B_Rep2_OR9	t00_B_Rep1_OR8	t00_C_Rep1_OR8	t00_A_Rep3_OR9	t00_A_Rep1_OR9	t00_B_Rep2_OR8	t00_B_Rep1_OR9	t00_B_Rep3_OR8
O60925	NA	18.995638885618263	18.85974062824173	18.951421951325433	NA	18.701762476362	19.041993342990132	NA	NA	18.274890984771304	NA	19.08425851251268
O75083	22.503741927565038	22.63427787856123	22.562823679587726	22.6123711967778	22.430159884888173	22.533083698721814	22.755959351039127	22.758689212716007	23.14744828379642	22.869086404958985	22.66114206248981	22.663116452574823
O75131;Q9UBL6;Q9HCH3;Q86YQ8;Q96A23;Q8IYJ1;Q96FN4	NA	17.925810130665106	17.144401421303034	NA	NA	NA	17.685552684379804	NA	NA	NA	NA	17.393544731665095
O75152	NA	16.457769445285784	NA	NA	NA	NA	NA	NA	NA	NA	NA	16.313350766399857
O75312	NA	15.750193157978028	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
O75340	NA	NA	17.278078142123785	17.46804760148005	NA	NA	NA	NA	NA	NA	NA	NA
O75347	NA	19.577491556441156	NA	19.359674222497866	19.6112878870103	19.24084889042347	19.62353027350387	NA	NA	19.47310259358484	NA	20.066044752515324
O75348	NA	20.090376379118144	20.906810338596056	20.15906018216921	20.572205211749324	NA	20.389979436276068	NA	NA	20.374607379234504	NA	19.833716349293006
O75351	NA	18.15353979719268	17.76142229274304	17.845792583488286	17.818991295240142	NA	17.95286187589176	NA	NA	18.043425953786652	17.746125752192675	18.00667432334367
O75367;Q9P0M6	20.372694625412358	19.888375884921278	20.1152679249158	19.376156338553635	19.51207853492293	19.563581670730773	20.3968696911754	19.227308470478548	NA	19.848240004426785	19.489877036345156	20.323454195386642
O75368	NA	18.337317693207268	16.82474784064564	18.273709160074045	18.050690867793435	18.099012476054686	17.28387031373584	NA	NA	18.27090938644662	NA	17.912147894552795
O75369	19.124083484282195	21.45893865671987	21.06651594876714	21.177589412861565	21.10007520719254	20.905106530888403	21.20612954244242	19.58358100396729	NA	21.364929617371466	20.85843177929567	21.4946192800722
O75390	NA	20.747903935862755	20.097741323218923	20.746329150273535	20.49034909863238	20.291756143261157	20.538117711649942	20.013371281681223	NA	20.202506575598825	20.081654575647903	20.76337181655293
O75396	NA	16.033294774836598	NA	NA	16.771779930035393	NA	NA	NA	NA	NA	NA	NA
O75400	NA	18.330044861212617	18.36127588334474	18.763227415893677	18.692079552478326	18.60374842745768	18.95503297493339	NA	NA	18.997179004396692	19.589406569514033	18.844279269434328
O75431	NA	17.171850125506133	16.55099677151702	NA	NA	NA	16.794905879356477	NA	NA	NA	NA	16.792979650467814
O75436	NA	17.11699650751444	18.904981899945497	NA	NA	NA	17.376427538485363	NA	NA	16.862892608100715	NA	17.35527863585908
O75475	NA	18.63912831253381	17.788761216886385	18.098190926837425	18.446382846678134	18.103154717527918	18.58618014462932	NA	NA	18.25322192792536	NA	18.556800333586324
O75489	NA	16.783271832661782	NA	16.55949870733041	NA	NA	NA	NA	NA	NA	NA	NA
O75506	NA	17.119316475596932	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
O75521	NA	16.611443597275752	NA	NA	NA	NA	NA	NA	NA	NA	NA	15.998652099024682
O75530	NA	16.327173601907198	17.3998443390726	NA	NA	NA	NA	NA	NA	NA	NA	NA
O75531	NA	20.432035550592744	20.138553518570504	19.94619346563074	19.573921684338345	19.82975992605111	19.958872484959763	19.74674752375566	NA	20.585205598592992	20.39164669699128	20.326853022056827
O75533	20.494420055703106	19.947411034401426	19.64860442661989	19.8419532544857	19.564743474195982	20.860913409973584	19.98398707660023	NA	NA	19.951889392966372	20.062010699537495	19.904547879513625
