Name	t00_A_Rep3_OR8	t00_C_Rep2_OR8	t00_C_Rep3_OR9	t00_A_Rep2_OR9	t00_B_Rep2_OR9	t00_B_Rep1_OR8	t00_C_Rep1_OR8	t00_A_Rep3_OR9	t00_A_Rep1_OR9	t00_B_Rep2_OR8	t00_B_Rep1_OR9	t00_B_Rep3_OR8
O15347	NA	NA	16.37489831240052	NA	NA	NA	19.23518597868268	NA	NA	18.736971341784695	NA	17.86757463905943
O15355	NA	19.930464740205977	20.457669603872915	19.410535725924483	19.236061840567228	NA	19.92194521260825	NA	NA	19.14352643654192	NA	19.16092892450728
O15371	NA	18.99028890013404	NA	18.94527056651831	NA	NA	18.61030138749158	NA	NA	18.1795266876575	20.43293784879202	18.524343271523495
O15372	NA	19.10817214692321	19.471113760831045	19.86352590084978	NA	NA	19.13974052593543	NA	NA	NA	NA	18.849384551266237
O15392	NA	15.759463133195258	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
O15397	NA	16.490103672175103	17.133498345718674	NA	NA	NA	16.822971117515536	NA	NA	NA	NA	NA
O15511	NA	20.17772408148437	20.73317269073551	NA	NA	NA	20.446007716574613	NA	NA	20.87459406451356	NA	20.723792034043264
O43143	NA	20.550603926028195	20.766204141722312	20.58464536926057	20.447818871606405	19.91631905113346	20.750290229170503	NA	NA	20.7891226238358	20.027816911491357	21.03174425223719
O43148	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
O43169	19.307263479349384	20.102034106441828	19.954633171944952	19.846397895521243	20.396471991606184	20.589845306787335	NA	NA	21.323503035889026	NA	NA	NA
O43172	NA	17.048120789010092	NA	NA	NA	NA	NA	NA	NA	NA	NA	17.259520544054087
O43175	19.7423092627351	20.973768702130847	20.874046460768174	21.01184162143913	20.839289123369916	20.606161121400895	21.247407607771002	20.657351175804706	NA	20.665143026891613	20.76941913615446	21.050263346191578
O43242	NA	19.015361948223862	18.609454385955736	18.92712393313792	18.508213655056075	NA	18.994833223381406	19.307065379977274	NA	18.739526002335296	19.922309244172077	19.390625221064994
O43252;O95340	NA	18.928135934146006	NA	NA	NA	NA	18.428006220863082	NA	NA	NA	NA	18.56493909790336
O43290	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
O43324	NA	18.008188884745245	19.794304165947537	18.661896512545184	18.280117926294782	NA	18.183855805305654	NA	NA	NA	NA	18.60183650487492
O43390	NA	19.474736903879567	18.762579871787175	19.131501812547143	18.94262046895032	NA	21.38073840845022	21.01064597983477	NA	21.11710849449252	20.982559692341336	21.32201226551814
O43396	NA	18.286963825865698	18.70427114659655	17.853306553162206	NA	NA	17.13070465107522	NA	NA	18.444890937026223	NA	18.460278392174576
O43399	NA	NA	NA	18.132863207654538	NA	NA	17.783576430272106	NA	NA	17.968634372059647	NA	17.68947636771036
O43447	NA	17.796505423852366	18.896176764335845	17.808285397914084	17.885988520250955	17.738521341874872	17.63696244331893	NA	NA	17.105234081958557	NA	16.896849053003063
